,rank_test_score,mean_test_score,std_test_score,param_max_epochs,param_batch_size,param_lr,param_module__preprocess,param_module__conv_type,param_module__channel_list,param_module__temporal_attention,param_module__fc_hidden_layers,param_module__activation_fct,param_module__dropout,mean_fit_time
24,1,0.9066326530612245,0.0056622864945366095,2000,64,0.0001,LSC,regular,"[(70, None), (90, 1), (107, 1), (122, 1)]",,"[1936, 64]",prelu,0.41956458131078966,117.4911109606425
15,2,0.9010204081632653,0.006822560110918905,2000,64,0.0001,LSC,regular,"[(66, None), (132, 66), (132, 66)]",,"[1936, 128]",prelu,0.5337294059770881,248.50131257375082
3,3,0.8821428571428571,0.010863393645160601,2000,64,0.0001,LSC,regular,"[(92, None), (19, 1), (19, 1), (45, 1), (55, 1), (5, 1)]",,"[1936, 128]",prelu,0.3296269452347208,267.8796083132426
13,3,0.8821428571428571,0.009355734494838727,2000,64,0.0001,LSC,regular,"[(125, None), (89, 1), (63, 1), (130, 1), (20, 1), (35, 1)]",,"[1936, 256]",prelu,0.2966525920638347,153.56732352574667
8,5,0.8505102040816327,0.004774429697364731,2000,64,0.0001,LSC,temporal,"[(101, None), (36, 1), (107, 1), (105, 1), (37, 1), (49, 1)]",,"[1936, 256]",prelu,0.335784849521646,277.41435901323956
2,6,0.8168367346938775,0.025223689984879845,2000,64,0.0001,LSC,temporal,"[(110, None), (44, 11), (55, 11), (77, 11)]",,"[1936, 64]",prelu,0.479605984725611,481.36164752642316
22,7,0.7739795918367347,0.013440616518775482,2000,64,0.0001,LSC,regular,"[(132, None), (132, 66), (132, 66), (66, 66), (132, 66)]",general_attention,"[1936, 64]",prelu,0.29220520520778986,444.63905119895935
7,8,0.7556122448979592,0.033005072362464145,2000,64,0.0001,LSC,regular,"[(71, None), (90, 1), (14, 1), (82, 1)]",general_attention,"[1936, 256]",prelu,0.21854955459188863,117.6421418984731
9,9,0.746938775510204,0.010110604563762303,2000,64,0.0001,LSC,regular,"[(132, None), (132, 66), (66, 66), (132, 66), (132, 66), (132, 66)]",general_attention,"[1936, 128]",prelu,0.534272844142871,892.5147806008657
14,10,0.7270408163265306,0.028547501600336644,2000,64,0.0001,LSC,regular,"[(78, None), (126, 1), (54, 1)]",dot_attention,"[1936, 256]",prelu,0.22532216289289242,91.66851536432902
21,11,0.7163265306122449,0.0355302902892162,2000,64,0.0001,LSC,temporal,"[(110, None), (22, 22)]",general_attention,"[1936, 128]",prelu,0.4195774758308171,232.22488649686179
17,12,0.7066326530612245,0.013148286661594283,2000,64,0.0001,LSC,temporal,"[(88, None), (88, 22)]",general_attention,"[1936, 256]",prelu,0.5857537822939148,383.4657076994578
12,13,0.7045918367346938,0.01701566457228356,2000,64,0.0001,LSC,regular,"[(22, None), (110, 22)]",dot_attention,"[1936, 64]",prelu,0.2596177812604785,150.404678662618
4,14,0.701530612244898,0.03085262457206631,2000,64,0.0001,LSC,regular,"[(132, None), (88, 22), (66, 22)]",dot_attention,"[1936, 128]",prelu,0.47545268226754794,282.6913061141968
11,15,0.6918367346938775,0.009839783040497142,2000,64,0.0001,LSC,regular,"[(66, None), (132, 66), (66, 66)]",dot_attention,"[1936, 256]",prelu,0.3439495831633717,275.9522182941437
0,16,0.6913265306122449,0.02487464998767431,2000,64,0.0001,LSC,regular,"[(44, None), (132, 22), (132, 22), (88, 22)]",dot_attention,"[1936, 256]",prelu,0.2455671179748622,267.99990280469257
18,17,0.6790816326530612,0.014824454422394724,2000,64,0.0001,LSC,regular,"[(110, None), (22, 22), (66, 22), (110, 22), (88, 22), (88, 22)]",general_attention,"[1936, 256]",prelu,0.32036468077574565,365.08628606796265
20,18,0.6760204081632653,0.029829033982568264,2000,64,0.0001,LSC,temporal,"[(54, None), (47, 1), (82, 1), (29, 1), (48, 1)]",general_attention,"[1936, 256]",prelu,0.2868727244732282,394.6542601585388
23,19,0.6183673469387755,0.017584943451713523,2000,64,0.0001,LSC,temporal,"[(132, None), (44, 22), (110, 22), (110, 22), (88, 22)]",dot_attention,"[1936, 64]",prelu,0.25284803953317303,863.8511905670166
1,20,0.5780612244897959,0.014375784158210265,2000,64,0.0001,LSC,temporal,"[(132, None), (44, 22), (66, 22), (110, 22)]",general_attention,"[1936, 64]",prelu,0.3532328791076324,925.2827191352844
16,21,0.563265306122449,0.03624829140328337,2000,64,0.0001,LSC,temporal,"[(4, None), (111, 1), (91, 1), (13, 1), (101, 1), (22, 1)]",general_attention,"[1936, 128]",prelu,0.3158372270878734,550.0410414536794
5,22,0.5352040816326531,0.03435143318927453,2000,64,0.0001,LSC,temporal,"[(77, None), (44, 11), (77, 11), (132, 11), (11, 11)]",dot_attention,"[1936, 64]",prelu,0.4405703187644213,1010.5156485239664
10,23,0.42806122448979594,0.06029490755518803,2000,64,0.0001,LSC,temporal,"[(66, None), (66, 22), (132, 22), (132, 22), (66, 22), (22, 22)]",dot_attention,"[1936, 128]",prelu,0.42233681576000076,1850.7783241271973
6,24,0.3056122448979592,0.18051314592906637,2000,64,0.0001,LSC,temporal,"[(27, None), (72, 3), (27, 3), (6, 3), (42, 3), (105, 3)]",dot_attention,"[1936, 64]",prelu,0.3024247413236455,864.6851534843445
19,25,0.29183673469387755,0.1596602743028231,2000,64,0.0001,LSC,temporal,"[(131, None), (64, 1), (1, 1), (46, 1), (38, 1), (121, 1)]",general_attention,"[1936, 128]",prelu,0.3249348123075854,463.2249396642049
