,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__activation_fct,param_module__dropout,param_module__net_type,param_module__tcn_channels,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
4,723.3578193982443,154.59589757908316,0.3284760316212972,0.0014375738193288569,32,0.0001,1000,prelu,0.5554059375520061,TCN,"[33, 22]","{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.5554059375520061, 'module__net_type': 'TCN', 'module__tcn_channels': [33, 22]}",0.8547400611620795,0.8606431852986217,0.877488514548239,0.8642857142857143,0.009638442470096821,1,0.9770290964777948,0.9602142310635042,0.9571537872991583,0.9647990382801525,0.00873774653050277
3,534.1590348084768,155.2925745622429,0.20975128809611002,0.005635248342829523,32,0.0001,1000,prelu,0.33409775164974675,TCN,"[22, 6]","{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.33409775164974675, 'module__net_type': 'TCN', 'module__tcn_channels': [22, 6]}",0.8394495412844036,0.8591117917304747,0.8744257274119449,0.8576530612244898,0.01431795931950704,2,0.9571209800918836,0.9349655700076511,0.9426166794185157,0.9449010765060168,0.009188013987079961
6,1136.925805568695,103.67212484328388,0.319077730178833,0.007199584128869587,32,0.0001,1000,prelu,0.736694337986975,TCN,"[33, 11, 11]","{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.736694337986975, 'module__net_type': 'TCN', 'module__tcn_channels': [33, 11, 11]}",0.8256880733944955,0.8514548238897397,0.8744257274119449,0.8505102040816327,0.019910794219719925,3,0.9303215926493109,0.9433817903596021,0.9250191277735271,0.9329075035941466,0.007716305068855855
0,423.7390824158986,54.429633645804074,0.33809343973795575,0.0035308957242098844,32,0.0001,1000,prelu,0.2189990072412864,TCN,"[33, 22]","{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.2189990072412864, 'module__net_type': 'TCN', 'module__tcn_channels': [33, 22]}",0.8486238532110092,0.8422664624808576,0.8560490045941807,0.8489795918367347,0.0056308936653547735,4,0.9678407350689127,0.9671002295332823,0.9410864575363428,0.9586758073795126,0.01244122202039489
1,638.8728988170624,93.43683049065066,0.21672590573628744,0.011620423629564579,32,0.0001,1000,prelu,0.502187345852756,TCN,"[22, 6]","{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.502187345852756, 'module__net_type': 'TCN', 'module__tcn_channels': [22, 6]}",0.8302752293577982,0.8147013782542113,0.8759571209800919,0.8403061224489796,0.025989325709818312,5,0.9341500765696784,0.8867635807192042,0.9303749043611323,0.9170961872166717,0.021503693388170892
9,745.5731347401937,175.54327948876804,0.20443598429361978,0.001444180264180019,32,0.0001,1000,prelu,0.5430797890358237,TCN,"[22, 6]","{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.5430797890358237, 'module__net_type': 'TCN', 'module__tcn_channels': [22, 6]}",0.8532110091743119,0.8208269525267994,0.8208269525267994,0.8316326530612245,0.015269880621118295,6,0.947166921898928,0.9043611323641928,0.8630451415455241,0.904857731936215,0.03434436820215489
7,379.2651382287343,27.561952298630597,0.2264078458150228,0.00021851617372273895,32,0.0001,1000,prelu,0.13481379486772205,TCN,"[22, 11]","{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.13481379486772205, 'module__net_type': 'TCN', 'module__tcn_channels': [22, 11]}",0.8287461773700305,0.8162327718223583,0.8453292496171516,0.8301020408163265,0.011914253519526484,7,0.9624808575803981,0.9487375669472073,0.9525631216526397,0.9545938487267484,0.005791510953929383
8,2184.3950889110565,6.338466722833839,0.30892133712768555,0.00020095655085259563,32,0.0001,1000,prelu,0.9338831061116769,TCN,"[33, 11, 11]","{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.9338831061116769, 'module__net_type': 'TCN', 'module__tcn_channels': [33, 11, 11]}",0.581039755351682,0.6875957120980092,0.7626339969372129,0.6770408163265306,0.07451937487780719,8,0.6653905053598775,0.749043611323642,0.7972456006120887,0.7372265724318693,0.05447429572510732
5,186.37606732050577,123.41872196396415,0.30381027857462567,0.006114588451053387,32,0.0001,1000,prelu,0.9870934258996976,TCN,"[22, 22, 11]","{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.9870934258996976, 'module__net_type': 'TCN', 'module__tcn_channels': [22, 22, 11]}",0.0764525993883792,0.07197549770290965,0.06891271056661562,0.07244897959183673,0.003096676535845033,9,0.0681470137825421,0.07804131599081866,0.07651109410864575,0.07423314129400217,0.004348647745102955
2,341.8883658250173,1.3191250864819495,0.3128787676493327,0.0018255939753860336,32,0.0001,1000,prelu,0.967457747308511,TCN,"[33, 11, 11]","{'batch_size': 32, 'lr': 0.0001, 'max_epochs': 1000, 'module__activation_fct': 'prelu', 'module__dropout': 0.967457747308511, 'module__net_type': 'TCN', 'module__tcn_channels': [33, 11, 11]}",0.06116207951070336,0.06431852986217458,0.055130168453292494,0.06020408163265306,0.0038109580391271058,10,0.08346094946401225,0.07880642693190512,0.08186687069625095,0.08137808236405611,0.0019313778373207398
