,rank_test_score,mean_test_score,std_test_score,param_max_epochs,param_batch_size,param_lr,param_module__dropout,param_module__activation_fct,param_module__net_type,param_module__tcn_channels,param_module__tcn_k,mean_fit_time
8,1,0.8612244897959184,0.01815064250247532,1000,32,0.0001,0.6017506684088859,prelu,TCN,"[33, 22]",5,936.2695215543112
4,2,0.8576530612244898,0.007408747654748533,1000,32,0.0001,0.3056779535618662,prelu,TCN,"[22, 11]",2,349.823367913564
7,3,0.8535714285714285,0.018032360036651655,1000,32,0.0001,0.75633128026357,prelu,TCN,"[22, 11]",5,1004.572415192922
3,4,0.8530612244897959,0.001159011396138285,1000,32,0.0001,0.7705631975919749,prelu,TCN,"[22, 6]",5,1496.2903935909271
0,5,0.8484693877551021,0.012705622906369778,1000,32,0.0001,0.38901328374873984,prelu,TCN,"[22, 11]",4,463.67640407880145
6,5,0.8484693877551021,0.004903976698853895,1000,32,0.0001,0.4428352241409533,prelu,TCN,"[22, 11]",2,466.2868630886078
2,7,0.8459183673469388,0.02759173921495166,1000,32,0.0001,0.6015875833639324,prelu,TCN,"[22, 22, 11]",4,1263.7445901234944
1,8,0.8255102040816327,0.0327193783564633,1000,32,0.0001,0.21998889550796355,prelu,TCN,"[22, 6]",5,478.9011405309041
5,9,0.8204081632653061,0.006186234596874784,1000,32,0.0001,0.1140246184325247,prelu,TCN,"[33, 22]",3,350.0662936369578
9,10,0.8010204081632653,0.0025042340533220366,1000,32,0.0001,0.30540667999416365,prelu,TCN,"[22, 22, 11]",2,478.79222353299457
